,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,rec.1,rec.2,rec.4,rec.4,K194.3,K194.4,lsPrk.3,lsPrk.4,time_s
0,0.047099999999999996,0.04618,0.048100000000000004,0.04708,0.04858,0.04724,0.04972,0.04908,0.048519999999999994,0.048,0.0512,0.04764,0.04666,0.0481,0.04894,0.0512,0.0482,0.04822,0.04914,0.048,0.048780000000000004,0.04786,0.0498,0.05125999999999999,0.047839999999999994,0.04768,0.047420000000000004,0.04788,0.047939999999999997,0.04984,0.047319999999999994,0.05052000000000001,0.05038,0.048679999999999994,0.051480000000000005,0.04748,0.050420000000000006,0.04836,0.0526,0.05088,0.046959999999999995,0.04854,0.047900000000000005,0.04848,0.04672,0.04854,0.048,0.04924,0.05022,0.049159999999999995,0.048819999999999995,0.05088,0.04774,0.048679999999999994,0.04922,0.050280000000000005,0.05134,0.051559999999999995,0.047779999999999996,0.0498,0.05095999999999999,0.05264,0.0493,0.0517,0.053160000000000006,0.0501,0.05064,0.04912000000000001,0.049659999999999996,0.0493,0.0504,0.05072,0.050280000000000005,0.052239999999999995,0.04986,0.048920000000000005,0.050760000000000007,0.0503,0.05186,0.050280000000000005,0.051480000000000005,0.05034000000000001,0.050019999999999995,0.05125999999999999,0.04986,0.05072,0.050480000000000004,0.0503,0.0502,0.050280000000000005,0.04942,0.04972,0.05062,0.05194,0.0504,0.05056000000000001,0.0
1,0.049819999999999996,0.04886,0.05316,0.05072,0.04976,0.04874,0.05016,0.05184,0.04806,0.05022,0.05566,0.05234,0.04728,0.051519999999999996,0.053059999999999996,0.0495,0.04936,0.050260000000000006,0.050280000000000005,0.05312,0.050359999999999995,0.048920000000000005,0.04996,0.05074000000000001,0.04968,0.05116,0.04948,0.05364,0.05086,0.05162,0.04886,0.0516,0.053239999999999996,0.05242,0.054479999999999994,0.05107999999999999,0.05192,0.05025999999999999,0.05417999999999999,0.05212,0.05086,0.05242,0.055940000000000004,0.05508,0.0491,0.04958,0.05008,0.04936,0.051859999999999996,0.05496000000000001,0.055200000000000006,0.05936,0.050960000000000005,0.05066,0.049120000000000004,0.0516,0.058100000000000006,0.06178,0.049780000000000005,0.06045999999999999,0.05576,0.05493999999999999,0.04988,0.05222,0.058660000000000004,0.06252,0.05982,0.05832,0.05172,0.05249999999999999,0.051239999999999994,0.05336,0.05504,0.06336,0.05893999999999999,0.06489999999999999,0.052180000000000004,0.05244,0.053239999999999996,0.05367999999999999,0.05994000000000001,0.054279999999999995,0.05636,0.056519999999999994,0.05136,0.05466,0.0522,0.05439999999999999,0.06459999999999999,0.06108,0.058179999999999996,0.058519999999999996,0.05601999999999999,0.05932,0.05258,0.05596000000000001,1897.845
2,0.05486,0.05382,0.05834,0.05544,0.05564,0.05466000000000001,0.05058,0.05358,0.05007999999999999,0.055279999999999996,0.059320000000000005,0.05628,0.048100000000000004,0.05636,0.05569999999999999,0.049980000000000004,0.0519,0.055700000000000006,0.051859999999999996,0.05774,0.05162,0.051239999999999994,0.05022,0.051160000000000004,0.0529,0.05500000000000001,0.052579999999999995,0.06709999999999999,0.052480000000000006,0.05286,0.04934,0.052000000000000005,0.059179999999999996,0.0686,0.056920000000000005,0.055979999999999995,0.053059999999999996,0.053180000000000005,0.05486,0.05297999999999999,0.053259999999999995,0.06388,0.060259999999999994,0.06404,0.057199999999999994,0.05306000000000001,0.0508,0.04994,0.054979999999999994,0.06622,0.05567999999999999,0.07202,0.0613,0.05905999999999999,0.0494,0.053259999999999995,0.06130000000000001,0.06892000000000001,0.052660000000000005,0.06908,0.059179999999999996,0.06342,0.0509,0.05304000000000001,0.06224,0.06514,0.0583,0.06938,0.05952,0.05932,0.05176000000000001,0.05478000000000001,0.059860000000000003,0.0643,0.060360000000000004,0.06038,0.05789999999999999,0.06137999999999999,0.05576000000000001,0.05813999999999999,0.061,0.05834,0.06083999999999999,0.059779999999999986,0.05775999999999999,0.0627,0.05424,0.056999999999999995,0.06608,0.06061999999999999,0.05961999999999999,0.06133999999999999,0.06362000000000001,0.062360000000000006,0.05574,0.058739999999999994,3795.547
3,0.059860000000000003,0.05172,0.061540000000000004,0.061040000000000004,0.061560000000000004,0.058899999999999994,0.0508,0.05488,0.05417999999999999,0.06463999999999999,0.060840000000000005,0.05614,0.048,0.06458,0.057699999999999994,0.050519999999999995,0.05784,0.06326000000000001,0.05661999999999999,0.0616,0.05576,0.056459999999999996,0.05032,0.0519,0.060279999999999986,0.0713,0.053059999999999996,0.06952,0.053700000000000005,0.05563999999999999,0.04954,0.052239999999999995,0.0596,0.07208,0.058899999999999994,0.06781999999999999,0.05691999999999999,0.05584,0.055080000000000004,0.05386,0.061340000000000006,0.0698,0.06384,0.06598000000000001,0.05364,0.05841999999999999,0.051859999999999996,0.0511,0.06018,0.07647999999999999,0.05608,0.07454,0.05876,0.061399999999999996,0.04973999999999999,0.056479999999999995,0.06795999999999999,0.07992000000000002,0.05500000000000001,0.07046,0.05855999999999999,0.06626000000000001,0.05134,0.054459999999999995,0.06756,0.06568,0.06246,0.08112,0.0603,0.05876,0.05295999999999999,0.05876,0.06118,0.07016,0.05806,0.060439999999999994,0.05588,0.05898,0.05576,0.061919999999999996,0.06645999999999999,0.06398,0.05938,0.06692000000000001,0.0612,0.06316,0.053000000000000005,0.06204,0.06717999999999999,0.06272,0.06416000000000001,0.06876,0.06822,0.07531999999999998,0.055999999999999994,0.062240000000000004,5693.265
4,0.061919999999999996,0.05534,0.06648,0.06992000000000001,0.07121999999999999,0.06828,0.0509,0.0563,0.0596,0.0623,0.06261999999999998,0.0643,0.04888,0.06754,0.059160000000000004,0.050780000000000006,0.061939999999999995,0.06588,0.05888,0.06604,0.05828,0.059919999999999994,0.05045999999999999,0.05229999999999999,0.0608,0.05878,0.05616,0.06165999999999999,0.056720000000000007,0.05786,0.049620000000000004,0.05256000000000001,0.06326,0.07552,0.0635,0.07351999999999999,0.0573,0.0611,0.055459999999999995,0.0543,0.06744,0.08337999999999998,0.0682,0.06488000000000001,0.05656000000000001,0.0754,0.05166,0.05156000000000001,0.06494,0.0692,0.05689999999999999,0.08758,0.062,0.06708,0.05018,0.059860000000000003,0.07086,0.08874,0.056299999999999996,0.06666000000000001,0.06044000000000001,0.0666,0.05244,0.05636,0.07074,0.08508,0.06584000000000001,0.07328,0.05861999999999999,0.06562,0.05292,0.0596,0.06468,0.06634,0.06276,0.06324,0.06202,0.06798000000000001,0.058199999999999995,0.06526,0.06698,0.061959999999999994,0.06458,0.06355999999999999,0.05833999999999999,0.06714,0.05586,0.06528,0.08042000000000002,0.07160000000000001,0.06554,0.07718,0.06488000000000001,0.07296,0.05738,0.06502,7590.925
5,0.0693,0.05746,0.07705999999999999,0.07188,0.07218,0.07164000000000001,0.05073999999999999,0.058800000000000005,0.05791999999999999,0.06373999999999999,0.06420000000000001,0.06511999999999998,0.05162,0.0728,0.059899999999999995,0.05072,0.06586,0.0648,0.06018,0.07674,0.059620000000000006,0.06702,0.05038,0.05295999999999999,0.06458,0.08034000000000001,0.05826,0.07144,0.05606,0.06106,0.0496,0.05238,0.06863999999999999,0.07411999999999999,0.06228,0.06992000000000001,0.0619,0.0635,0.055479999999999995,0.05514,0.06834,0.08925999999999999,0.06736,0.07278,0.06758,0.06806,0.052879999999999996,0.05156000000000001,0.06230000000000001,0.08710000000000001,0.05798,0.09816000000000001,0.06394,0.0651,0.05058,0.058699999999999995,0.07096,0.08038,0.056999999999999995,0.07178,0.06514,0.06910000000000001,0.053200000000000004,0.05474,0.06992000000000001,0.0789,0.06786,0.07624,0.057819999999999996,0.07138000000000001,0.05450000000000001,0.05736,0.061560000000000004,0.07276,0.06654,0.06391999999999999,0.06274,0.07343999999999999,0.05928,0.0627,0.07052,0.06452,0.06083999999999999,0.07210000000000001,0.06220000000000001,0.07036,0.055920000000000004,0.06372,0.07422,0.06936,0.06831999999999999,0.07805999999999999,0.08700000000000001,0.08854,0.058440000000000006,0.0632,9488.809
6,0.07408,0.06817999999999999,0.08153999999999999,0.08608,0.0805,0.07436000000000001,0.05073999999999999,0.05926,0.0658,0.06494,0.06345999999999999,0.06672,0.05589999999999999,0.07697999999999999,0.061,0.050960000000000005,0.07126,0.06567999999999999,0.06624,0.08144,0.06656,0.06817999999999999,0.05032,0.05369999999999999,0.06698,0.06854,0.06258,0.08336,0.05808,0.06736,0.04952,0.052239999999999995,0.07686,0.06312000000000001,0.06766,0.06777999999999999,0.06115999999999999,0.06798000000000001,0.055479999999999995,0.05508,0.07722,0.06337999999999999,0.07136,0.07416,0.07058,0.07497999999999999,0.052059999999999995,0.0516,0.07125999999999999,0.08566,0.06172,0.0986,0.06799999999999999,0.08384000000000001,0.050980000000000004,0.05928,0.07486000000000001,0.08868000000000001,0.05773999999999999,0.08338,0.06364,0.0749,0.05312,0.05726,0.0731,0.08264,0.06273999999999999,0.07724,0.06198,0.0799,0.05474,0.059699999999999996,0.068,0.07824000000000002,0.07268,0.06921999999999999,0.06208,0.0738,0.05936,0.0631,0.07239999999999999,0.07132,0.06505999999999999,0.06794,0.06229999999999999,0.08146,0.05714,0.06536,0.07844000000000001,0.07361999999999999,0.06752,0.08280000000000001,0.08634,0.07869999999999999,0.05960000000000001,0.06468,11386.482
7,0.0766,0.059800000000000006,0.08466,0.08416,0.08496000000000001,0.08315999999999998,0.051039999999999995,0.059719999999999995,0.07366,0.08162,0.0677,0.07774,0.05806,0.10732000000000001,0.061399999999999996,0.05149999999999999,0.07088,0.07406,0.06106,0.07762,0.0675,0.07502,0.05045999999999999,0.05292,0.07868,0.06996,0.06396,0.0837,0.05924,0.06564,0.04973999999999999,0.0529,0.07946,0.07834,0.06574,0.07392,0.0723,0.07538,0.05582,0.05550000000000001,0.08344,0.09659999999999999,0.07396,0.07808,0.061619999999999994,0.07026,0.05245999999999999,0.051859999999999996,0.0755,0.09467999999999999,0.07228,0.09054,0.07124,0.07189999999999999,0.05024000000000001,0.0612,0.08104,0.08458,0.06124,0.07032000000000001,0.07608,0.08892,0.052739999999999995,0.056799999999999996,0.07822,0.08990000000000001,0.07444000000000002,0.08518,0.06132,0.08052,0.05456,0.06026,0.06922,0.08123999999999999,0.06758,0.09006,0.07125999999999999,0.0654,0.06118,0.06516,0.07308,0.07356,0.07102,0.07472,0.06502,0.0751,0.056600000000000004,0.06932,0.08071999999999999,0.07586,0.07392,0.0814,0.09986,0.09401999999999999,0.061239999999999996,0.06520000000000001,13284.186
8,0.08534,0.06482,0.0858,0.09432,0.08796,0.0856,0.051059999999999994,0.05932,0.08024,0.08204,0.0697,0.08764000000000001,0.0602,0.10458,0.062,0.0521,0.08088,0.08736,0.0663,0.08543999999999999,0.07039999999999999,0.07638,0.05062000000000001,0.05292,0.08176,0.0718,0.0641,0.08109999999999999,0.06648000000000001,0.07494,0.04984000000000001,0.0528,0.081,0.09544,0.06944,0.07752,0.06760000000000001,0.0741,0.05591999999999999,0.056920000000000005,0.08206,0.08443999999999999,0.07636000000000001,0.06946,0.06821999999999999,0.07844,0.0526,0.052180000000000004,0.08154,0.08098,0.06521999999999999,0.09097999999999999,0.07705999999999999,0.06784,0.0512,0.06098,0.07991999999999999,0.0976,0.06361999999999998,0.06738,0.07877999999999999,0.08715999999999999,0.053739999999999996,0.05824,0.07586,0.07778,0.0799,0.0868,0.06467999999999999,0.08506,0.0553,0.06280000000000001,0.07913999999999999,0.07528,0.06611999999999998,0.08714,0.06545999999999999,0.09535999999999999,0.06304000000000001,0.0626,0.07608000000000001,0.0668,0.07484,0.07406,0.06608,0.0794,0.05782,0.0634,0.08635999999999999,0.074,0.07318,0.0887,0.08046,0.11617999999999999,0.06266000000000001,0.06359999999999999,15181.843
9,0.07732000000000001,0.0782,0.08892,0.09622,0.09604,0.08886,0.05167999999999999,0.06013999999999999,0.07672,0.08629999999999999,0.0712,0.09137999999999999,0.0659,0.10631999999999997,0.06215999999999999,0.0529,0.0813,0.09834000000000001,0.06720000000000001,0.08542000000000001,0.08508,0.08112,0.0506,0.052180000000000004,0.08934,0.08256,0.06944,0.08598000000000001,0.07692000000000002,0.07464000000000001,0.04998,0.05292,0.08146,0.08199999999999999,0.07334,0.07318,0.07569999999999999,0.07792,0.05626,0.05616000000000001,0.08793999999999999,0.08142,0.08208,0.07527999999999999,0.0653,0.0836,0.05299999999999999,0.05352,0.08368,0.09294,0.07071999999999999,0.09186,0.07564,0.07708,0.0512,0.06426,0.0853,0.09054,0.07225999999999999,0.08453999999999999,0.07028000000000001,0.0849,0.05386,0.05988,0.08542000000000001,0.07949999999999999,0.0706,0.08878,0.07524,0.07642,0.054880000000000005,0.06582,0.06998,0.08915999999999999,0.06744,0.07624,0.0717,0.07296,0.06254,0.06858,0.07764,0.08126,0.06862,0.08416,0.07012,0.08496000000000001,0.05676,0.0621,0.08492,0.07444,0.0727,0.08317999999999999,0.08929999999999999,0.09672,0.0625,0.06476000000000001,17079.616
