cycle_n,time_s,CO2 %,O2 %,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc
11,18158.685,4.911111111111111,19.722222222222225,0.04445555555555555,0.04521111111111112,0.0762222222222222,0.04612222222222221,0.2077111111111111,0.09975555555555556,0.07232222222222223,0.04804444444444444,0.04428888888888888,0.04574444444444444,0.046322222222222216,0.04621111111111111,0.15780000000000002,0.09404444444444444,0.04695555555555556,0.04828888888888889,0.04444444444444445,0.04562222222222221,0.04666666666666666,0.04686666666666667,0.15541111111111108,0.09528888888888888,0.04736666666666666,0.04882222222222222,0.04448888888888889,0.0467,0.047077777777777774,0.04681111111111111,0.16687777777777776,0.10002222222222223,0.04746666666666666,0.048711111111111115,0.04416666666666666,0.045877777777777774,0.04648888888888889,0.04617777777777778,0.15108888888888894,0.10255555555555557,0.048111111111111104,0.04877777777777779,0.043799999999999985,0.04524444444444445,0.04502222222222222,0.0452888888888889,0.15048888888888887,0.09825555555555555,0.046999999999999986,0.0482,0.043966666666666654,0.04668888888888889,0.04617777777777777,0.04485555555555556,0.15778888888888887,0.10365555555555557,0.04624444444444444,0.050188888888888894,0.04434444444444443,0.04785555555555555,0.046877777777777775,0.04633333333333333,0.16232222222222223,0.10163333333333331,0.047488888888888886,0.05163333333333334,0.044755555555555555,0.04738888888888889,0.04623333333333333,0.046277777777777786,0.16035555555555556,0.10657777777777779,0.04735555555555556,0.05202222222222222,0.044800000000000006,0.047488888888888886,0.04680000000000001,0.04613333333333333,0.15719999999999998,0.07043333333333333,0.04711111111111111,0.05073333333333333,0.044266666666666676,0.04678888888888888,0.04617777777777777,0.04604444444444445,0.16526666666666667,0.09911111111111111,0.0473,0.051355555555555564,0.044066666666666664,0.04655555555555555,0.04558888888888888,0.04511111111111112,0.16670000000000004,0.12274444444444443,0.04652222222222222,0.05096666666666667
12,19958.609,5.0,19.700000000000003,0.044466666666666654,0.045244444444444455,0.07599999999999997,0.04614444444444443,0.22194444444444447,0.10817777777777778,0.06888888888888889,0.048144444444444434,0.0443111111111111,0.04576666666666667,0.04636666666666667,0.04622222222222223,0.17197777777777778,0.10266666666666667,0.046977777777777785,0.04836666666666667,0.04446666666666668,0.045633333333333324,0.04669999999999999,0.04688888888888889,0.16937777777777774,0.10425555555555555,0.04739999999999999,0.048933333333333336,0.04452222222222222,0.0468,0.047133333333333326,0.04683333333333333,0.18271111111111107,0.10984444444444447,0.047522222222222216,0.0488,0.04421111111111111,0.045911111111111104,0.04653333333333334,0.04618888888888889,0.1671666666666667,0.11296666666666667,0.048166666666666656,0.04883333333333335,0.043833333333333314,0.04526666666666668,0.04505555555555555,0.045344444444444444,0.1665222222222222,0.10796666666666666,0.047022222222222215,0.04826666666666667,0.043988888888888876,0.047377777777777776,0.04622222222222222,0.044866666666666666,0.18058888888888888,0.1145888888888889,0.046288888888888886,0.051155555555555565,0.04435555555555554,0.048666666666666664,0.0469,0.04634444444444444,0.18416666666666667,0.11147777777777777,0.047577777777777774,0.05273333333333333,0.0447888888888889,0.0482,0.04626666666666667,0.046277777777777786,0.18113333333333329,0.116,0.0474,0.05316666666666667,0.044833333333333336,0.04825555555555555,0.04683333333333334,0.04611111111111111,0.1797444444444444,0.07625555555555556,0.04716666666666667,0.051699999999999996,0.0442888888888889,0.047611111111111104,0.04623333333333333,0.04606666666666667,0.1885111111111111,0.10826666666666668,0.04736666666666667,0.05242222222222223,0.04408888888888888,0.04742222222222222,0.04564444444444443,0.04511111111111112,0.19190000000000004,0.1380333333333333,0.04655555555555555,0.052
13,21758.544,5.0,19.700000000000003,0.044488888888888876,0.04523333333333335,0.08039999999999997,0.04614444444444443,0.23243333333333335,0.11785555555555556,0.06756666666666666,0.0482111111111111,0.04434444444444443,0.0457888888888889,0.04638888888888889,0.04622222222222224,0.1815111111111111,0.1123,0.047022222222222236,0.0484,0.044488888888888904,0.04562222222222221,0.046722222222222214,0.046911111111111105,0.17904444444444437,0.11437777777777776,0.04743333333333332,0.048988888888888894,0.044566666666666664,0.04697777777777778,0.04717777777777776,0.04686666666666666,0.19512222222222217,0.12074444444444447,0.04755555555555555,0.04884444444444445,0.044255555555555555,0.045933333333333326,0.046555555555555565,0.04618888888888889,0.18042222222222226,0.12431111111111111,0.048211111111111093,0.048888888888888905,0.043866666666666644,0.04526666666666668,0.04507777777777777,0.045366666666666666,0.1796777777777778,0.11846666666666665,0.04702222222222222,0.04831111111111112,0.043988888888888876,0.04831111111111111,0.04625555555555556,0.04485555555555556,0.20253333333333332,0.12600000000000003,0.04630000000000001,0.052355555555555565,0.044366666666666645,0.04977777777777778,0.0469,0.04634444444444444,0.20436666666666667,0.12197777777777775,0.047622222222222226,0.05402222222222222,0.044800000000000006,0.049266666666666674,0.0462888888888889,0.04625555555555556,0.20039999999999994,0.12571111111111113,0.047411111111111105,0.05448888888888889,0.044844444444444444,0.04927777777777778,0.04686666666666667,0.04606666666666667,0.20191111111111107,0.0825111111111111,0.04721111111111112,0.05279999999999999,0.04432222222222223,0.048711111111111115,0.04625555555555556,0.04604444444444445,0.21134444444444445,0.11805555555555558,0.047411111111111105,0.053666666666666675,0.0441111111111111,0.04862222222222221,0.045666666666666654,0.04511111111111112,0.2169555555555556,0.15215555555555554,0.04658888888888888,0.0532
14,23558.454,5.0,19.700000000000003,0.044511111111111105,0.04522222222222224,0.08798888888888885,0.04614444444444443,0.24358888888888894,0.12783333333333335,0.06794444444444443,0.048222222222222215,0.044366666666666645,0.04580000000000001,0.04642222222222222,0.046211111111111126,0.18856666666666666,0.12252222222222221,0.04706666666666667,0.04842222222222222,0.04451111111111112,0.04562222222222221,0.04674444444444444,0.046944444444444434,0.18634444444444434,0.1249111111111111,0.04746666666666665,0.04901111111111112,0.04458888888888888,0.047099999999999996,0.047199999999999985,0.046888888888888876,0.2062555555555555,0.13214444444444448,0.04757777777777778,0.04887777777777778,0.044277777777777784,0.04592222222222222,0.04657777777777778,0.04617777777777778,0.19231111111111113,0.13616666666666666,0.04824444444444442,0.04892222222222225,0.043888888888888866,0.045277777777777785,0.0451111111111111,0.04535555555555556,0.19103333333333336,0.12934444444444443,0.04704444444444445,0.04834444444444445,0.043988888888888876,0.04955555555555555,0.04626666666666668,0.044811111111111114,0.2241333333333333,0.13743333333333338,0.046311111111111115,0.053744444444444456,0.044366666666666645,0.05121111111111112,0.04691111111111112,0.046355555555555546,0.22408888888888887,0.13252222222222218,0.04764444444444444,0.055511111111111115,0.044800000000000006,0.050633333333333336,0.046311111111111115,0.04625555555555556,0.21874444444444438,0.1353777777777778,0.047411111111111105,0.05603333333333333,0.044844444444444444,0.050611111111111114,0.0469,0.04604444444444445,0.22376666666666664,0.08895555555555555,0.04724444444444446,0.05408888888888888,0.044366666666666665,0.05016666666666667,0.0462888888888889,0.04603333333333334,0.23342222222222223,0.1279888888888889,0.04745555555555555,0.05514444444444445,0.04414444444444444,0.05018888888888887,0.045699999999999984,0.04512222222222223,0.24180000000000001,0.1649222222222222,0.04662222222222221,0.05461111111111111
15,25358.372,5.0,19.700000000000003,0.04455555555555555,0.045188888888888896,0.0902222222222222,0.046111111111111096,0.2567777777777778,0.13717777777777782,0.06813333333333332,0.048244444444444444,0.04437777777777776,0.04580000000000001,0.046444444444444434,0.046211111111111126,0.1948777777777778,0.13235555555555556,0.047088888888888895,0.04843333333333333,0.04454444444444445,0.04562222222222221,0.04675555555555556,0.046944444444444434,0.19274444444444436,0.13494444444444442,0.047488888888888865,0.049000000000000016,0.044599999999999994,0.047155555555555555,0.04718888888888887,0.04689999999999999,0.2173666666666666,0.1431888888888889,0.0476,0.0489,0.0442888888888889,0.045911111111111104,0.046588888888888895,0.0461888888888889,0.2033777777777778,0.14753333333333332,0.04825555555555553,0.04892222222222225,0.04391111111111109,0.0452888888888889,0.0451111111111111,0.04533333333333334,0.20033333333333334,0.13983333333333334,0.04706666666666667,0.04834444444444445,0.043999999999999984,0.05116666666666666,0.04625555555555556,0.044777777777777784,0.24516666666666662,0.14855555555555558,0.04633333333333334,0.05535555555555557,0.04437777777777776,0.05302222222222223,0.04693333333333335,0.04634444444444444,0.24398888888888884,0.14291111111111107,0.047655555555555555,0.05727777777777778,0.044800000000000006,0.052355555555555565,0.04633333333333334,0.04624444444444444,0.23657777777777775,0.1451,0.04742222222222222,0.05782222222222222,0.044833333333333336,0.05234444444444445,0.04693333333333333,0.046022222222222235,0.24541111111111105,0.09539999999999998,0.04726666666666668,0.05558888888888888,0.04438888888888889,0.05201111111111112,0.046311111111111115,0.04601111111111112,0.25504444444444446,0.1378666666666667,0.04747777777777778,0.05691111111111111,0.04416666666666667,0.05219999999999999,0.045699999999999984,0.04510000000000001,0.2662,0.17642222222222217,0.04664444444444443,0.05625555555555555
16,27158.303,5.0,19.700000000000003,0.04457777777777778,0.04518888888888889,0.09045555555555553,0.04608888888888887,0.2693222222222223,0.14451111111111115,0.07211111111111108,0.04827777777777778,0.04441111111111109,0.04580000000000001,0.04648888888888888,0.046244444444444456,0.2023111111111111,0.14023333333333335,0.0471,0.048477777777777765,0.04458888888888889,0.04564444444444443,0.046777777777777786,0.046944444444444434,0.20034444444444435,0.14309999999999998,0.047488888888888865,0.04902222222222224,0.044599999999999994,0.047155555555555555,0.04718888888888887,0.046888888888888876,0.2287444444444444,0.15201111111111112,0.04764444444444444,0.04891111111111111,0.0442888888888889,0.045899999999999996,0.04661111111111111,0.04622222222222224,0.2149333333333334,0.15652222222222223,0.048266666666666645,0.04892222222222225,0.043922222222222196,0.04530000000000001,0.0451111111111111,0.04535555555555556,0.20888888888888887,0.1483777777777778,0.0471,0.04834444444444445,0.04404444444444442,0.053188888888888876,0.04625555555555556,0.04476666666666668,0.2657222222222222,0.15815555555555558,0.04635555555555556,0.05717777777777779,0.04441111111111109,0.055288888888888894,0.04695555555555558,0.04634444444444444,0.264311111111111,0.1522444444444444,0.04766666666666666,0.05931111111111112,0.044811111111111114,0.05453333333333334,0.04636666666666667,0.04624444444444444,0.25461111111111107,0.15375555555555556,0.047455555555555556,0.05989999999999999,0.04485555555555556,0.05448888888888889,0.04696666666666666,0.046022222222222235,0.2669666666666666,0.10143333333333332,0.047311111111111116,0.05732222222222221,0.044399999999999995,0.054333333333333345,0.04632222222222223,0.046022222222222235,0.27613333333333334,0.14638888888888893,0.04752222222222222,0.05889999999999999,0.04420000000000001,0.05465555555555555,0.04573333333333331,0.04510000000000001,0.2902777777777778,0.18481111111111106,0.046666666666666655,0.058166666666666665
17,28958.246,5.0,19.700000000000003,0.04461111111111111,0.04521111111111111,0.08739999999999999,0.046077777777777745,0.2820777777777778,0.14980000000000004,0.0760222222222222,0.04832222222222223,0.044455555555555526,0.045811111111111115,0.04648888888888888,0.046277777777777786,0.21115555555555554,0.14595555555555553,0.0471,0.04852222222222221,0.0446111111111111,0.04565555555555554,0.0467888888888889,0.04692222222222222,0.20886666666666656,0.1491222222222222,0.04747777777777776,0.04905555555555557,0.044599999999999994,0.04716666666666667,0.04718888888888887,0.046888888888888876,0.2398555555555555,0.15852222222222223,0.04767777777777777,0.0489,0.044311111111111114,0.045911111111111104,0.04663333333333333,0.04625555555555558,0.22537777777777782,0.1630222222222222,0.04825555555555553,0.048933333333333356,0.0439333333333333,0.04530000000000001,0.045099999999999994,0.045366666666666666,0.21687777777777775,0.15464444444444445,0.047122222222222225,0.04833333333333334,0.04406666666666664,0.05566666666666665,0.04625555555555556,0.04476666666666668,0.28453333333333336,0.16552222222222226,0.046377777777777775,0.05930000000000001,0.044455555555555526,0.05808888888888889,0.046966666666666684,0.04633333333333333,0.2842777777777777,0.15953333333333328,0.04767777777777777,0.061722222222222234,0.04482222222222223,0.05730000000000001,0.046377777777777775,0.04623333333333332,0.2721222222222222,0.16061111111111112,0.047511111111111115,0.06233333333333332,0.044899999999999995,0.05716666666666667,0.046999999999999986,0.04603333333333334,0.2878555555555554,0.10643333333333332,0.04735555555555556,0.05931111111111109,0.044399999999999995,0.05722222222222224,0.04630000000000001,0.04600000000000001,0.29637777777777785,0.15323333333333342,0.04754444444444445,0.0612111111111111,0.044222222222222225,0.05767777777777777,0.04575555555555553,0.04507777777777779,0.31337777777777776,0.19049999999999997,0.04671111111111109,0.06038888888888889
18,30758.149,5.0,19.688888888888886,0.044599999999999994,0.045255555555555556,0.08356666666666666,0.046099999999999974,0.2925333333333333,0.15393333333333337,0.08029999999999997,0.04831111111111112,0.044488888888888856,0.04583333333333334,0.046499999999999986,0.0462888888888889,0.22151111111111108,0.15034444444444442,0.0471,0.04855555555555554,0.04459999999999998,0.04568888888888887,0.046811111111111116,0.046911111111111105,0.21881111111111098,0.1539222222222222,0.04747777777777776,0.049100000000000005,0.044599999999999994,0.04721111111111112,0.047199999999999985,0.046888888888888876,0.2504555555555555,0.1635777777777778,0.0477111111111111,0.04886666666666667,0.044311111111111114,0.045933333333333326,0.04664444444444444,0.04625555555555558,0.23437777777777782,0.1680111111111111,0.04824444444444442,0.048966666666666686,0.0439333333333333,0.04530000000000001,0.04508888888888887,0.045377777777777774,0.2264777777777778,0.1594777777777778,0.04714444444444444,0.04835555555555556,0.04407777777777775,0.058666666666666645,0.046277777777777786,0.04475555555555557,0.30141111111111113,0.1712444444444445,0.0464,0.06175555555555557,0.044488888888888856,0.06152222222222223,0.046966666666666684,0.04633333333333333,0.3038999999999999,0.16528888888888885,0.0477111111111111,0.06450000000000002,0.044844444444444444,0.06067777777777778,0.046377777777777775,0.04623333333333332,0.2900777777777778,0.16623333333333334,0.04754444444444445,0.06516666666666664,0.044966666666666655,0.06037777777777778,0.04702222222222221,0.046055555555555565,0.30867777777777766,0.11016666666666665,0.04738888888888889,0.06159999999999998,0.044399999999999995,0.06071111111111113,0.0462888888888889,0.045988888888888906,0.3152555555555556,0.15908888888888897,0.04757777777777778,0.06385555555555554,0.04423333333333334,0.06133333333333332,0.04579999999999998,0.04507777777777779,0.33673333333333333,0.19661111111111107,0.04674444444444442,0.06294444444444446
19,32558.065,5.0,19.66666666666666,0.04459999999999998,0.04530000000000001,0.08120000000000001,0.0461222222222222,0.3078444444444444,0.15831111111111115,0.08179999999999997,0.0482888888888889,0.044488888888888856,0.04586666666666667,0.04648888888888888,0.04626666666666668,0.23761111111111102,0.15485555555555555,0.04712222222222223,0.048577777777777754,0.044588888888888865,0.04571111111111109,0.04683333333333334,0.0469,0.23367777777777762,0.1587777777777778,0.04749999999999998,0.049133333333333334,0.04462222222222222,0.04725555555555557,0.04721111111111109,0.04689999999999999,0.2634666666666666,0.16914444444444446,0.04773333333333332,0.04886666666666667,0.04432222222222223,0.04595555555555555,0.046655555555555554,0.04625555555555558,0.24557777777777787,0.17375555555555555,0.04825555555555553,0.048977777777777794,0.04394444444444442,0.04530000000000001,0.045088888888888866,0.04535555555555556,0.24214444444444452,0.1644888888888889,0.047155555555555555,0.04838888888888889,0.04406666666666664,0.062244444444444415,0.0462888888888889,0.04475555555555557,0.3186222222222222,0.1767777777777778,0.046444444444444434,0.06461111111111113,0.04449999999999996,0.0656,0.04697777777777779,0.04633333333333333,0.32722222222222214,0.1706888888888888,0.04774444444444443,0.06773333333333334,0.04485555555555556,0.06465555555555555,0.04635555555555556,0.04623333333333332,0.31088888888888894,0.17176666666666665,0.04757777777777778,0.06848888888888886,0.045022222222222213,0.06425555555555557,0.047044444444444423,0.046055555555555565,0.33291111111111094,0.11296666666666666,0.0474,0.06425555555555552,0.044399999999999995,0.06482222222222224,0.046311111111111115,0.04596666666666668,0.33396666666666674,0.16555555555555565,0.047588888888888896,0.06695555555555555,0.04423333333333334,0.0657111111111111,0.045833333333333316,0.04505555555555557,0.36482222222222216,0.20661111111111108,0.04677777777777776,0.06587777777777779
20,34357.991,5.0,19.633333333333326,0.04459999999999997,0.045311111111111115,0.07875555555555556,0.046111111111111096,0.3290444444444444,0.16322222222222224,0.08009999999999996,0.04826666666666668,0.044488888888888856,0.045877777777777774,0.046499999999999986,0.04623333333333334,0.2630666666666666,0.1597666666666667,0.04714444444444446,0.04858888888888887,0.04459999999999998,0.04573333333333331,0.04685555555555556,0.0469,0.25758888888888876,0.16417777777777776,0.04753333333333331,0.049166666666666664,0.04465555555555556,0.0472888888888889,0.047233333333333315,0.046888888888888876,0.28246666666666664,0.1752666666666667,0.047755555555555544,0.04887777777777778,0.044333333333333336,0.045966666666666656,0.046655555555555554,0.04624444444444447,0.2645666666666667,0.18004444444444445,0.04829999999999998,0.04898888888888891,0.04396666666666663,0.04530000000000001,0.04508888888888885,0.045344444444444444,0.2679777777777779,0.17008888888888893,0.04716666666666666,0.04843333333333333,0.044077777777777764,0.06645555555555553,0.04630000000000001,0.044744444444444455,0.3395333333333333,0.18300000000000005,0.046477777777777764,0.0678666666666667,0.04449999999999996,0.07037777777777779,0.046988888888888906,0.046322222222222216,0.3576333333333333,0.1769777777777777,0.04776666666666665,0.0713888888888889,0.044866666666666666,0.06915555555555554,0.04635555555555556,0.0462111111111111,0.3439111111111111,0.17823333333333335,0.0476,0.07227777777777775,0.04504444444444444,0.06872222222222223,0.047066666666666646,0.04604444444444445,0.36392222222222204,0.11546666666666666,0.04741111111111112,0.06729999999999998,0.044399999999999995,0.06949999999999999,0.04635555555555556,0.04597777777777779,0.3583333333333334,0.173588888888889,0.04761111111111111,0.07053333333333334,0.04424444444444445,0.07082222222222222,0.045855555555555545,0.04504444444444446,0.40263333333333323,0.22039999999999996,0.04678888888888888,0.06922222222222223
