alanine,101.0
arginine,50.0
asparagine/aspartate,95.0
cysteine,12.0
glutamine/glutamate,121.0
glycine,109.0
histidine,16.0
isoleucine,48.0
leucine,72.0
lysine,58.0
methionine,28.0
phenylalanine,39.0
proline,40.0
serine,49.0
threonine,53.0
tryptophan,15.0
tyrosine,28.0
valine,68.0
