label,short_name,strain,pFE,pFA,media,condition,measured_OD,dilution_factor,OD,use
AF-23-g1,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.635,10,6.35,TRUE
AF-23-g2,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.551,10,5.51,TRUE
AF-23-g3,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.563,10,5.63,TRUE
AF-23-g4,pos,CAfree,pFE-sfGFP,pFA-HCAII,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.617,10,6.17,TRUE
AF-23-g5,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.423,10,4.23,TRUE
AF-23-g6,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.464,10,4.64,TRUE
AF-23-g7,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.442,10,4.42,TRUE
AF-23-g8,p1A/AGFP,CCMB1,p1A,pFA-sfGFP,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.429,10,4.29,TRUE
AF-23-g9,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.527,10,5.27,TRUE
AF-23-g10,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.464,10,4.64,TRUE
AF-23-g11,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.479,10,4.79,TRUE
AF-23-g12,p1A/pCCM',CCMB1,p1A,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.448,10,4.48,TRUE
AF-23-g13,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.347,10,3.47,TRUE
AF-23-g14,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.48,10,4.8,TRUE
AF-23-g15,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.434,10,4.34,TRUE
AF-23-g16,full CCM pre,CCMB1,pCB,pCCM,m9 gly 1/2 cm aTc 100 nm,10% CO2,0.469,10,4.69,TRUE
AF-23-g17,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.295,10,2.95,TRUE
AF-23-g18,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.29,10,2.9,TRUE
AF-23-g19,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.277,10,2.77,TRUE
AF-23-g20,full CCM post,CCMB1,pCB',pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.302,10,3.02,TRUE
AF-23-g21,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.34,10,3.4,TRUE
AF-23-g22,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.408,10,4.08,TRUE
AF-23-g23,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.342,10,3.42,TRUE
AF-23-g24,csos2 dNTD,CCMB1,pCB' dNTD S2,pCCM',m9 gly 1/2 cm aTc 100 nm,10% CO2,0.29,10,2.9,TRUE
