sample,ser,his,val,thr,pro,arg,glu,sample_name,description
AF 1,0.006988286999999982,0.003731205000000015,0.007623152000000077,0.040591334000000034,0.05136850500000001,0.07097072900000001,0.039123515,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 1"
AF 2,0.006721489999999997,0.006930244000000085,0.007617837999999932,0.03951951499999995,0.052869657000000014,0.07259232999999998,0.04599549000000003,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 2"
AF 3,0.006565929000000081,0.009817232999999925,0.0065617799999999615,0.04001195999999996,0.046377577,0.07414453099999996,0.05010742499999998,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 3"
AF 4,0.006520905000000021,0.006209329000000041,0.0076684040000000175,0.06107000799999995,0.05732466200000008,0.07331973599999997,0.040729869999999946,CAfree_bioreactor,"Control ambient air, bioreactor - CAfree:pFE-sfGFP+pFA-HCAII biological replicate 4"
AF 5,0.016193182000000084,0.028977290000000044,0.016370575000000054,0.04222598599999994,0.041517758000000016,0.10805272099999996,0.02948761599999994,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 1
AF 6,0.028587549000000045,0.05817651400000001,0.027860024999999955,0.07530235500000004,0.06820447200000002,0.17513520500000002,0.04910178400000009,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 2
AF 7,0.027318965999999945,0.042895509000000054,0.07838286799999994,0.11016334299999997,0.07825158499999996,0.1903804859999999,0.05750392000000004,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 3
AF 8,0.014282255999999993,0.014286620000000028,0.011747664000000047,0.0404596009999999,0.028315577999999952,0.0884871490000001,0.023844010999999887,CCMB1_bioreactor,Experiment ambient air bioreactor - CCMB1:pCB'+pCCM' biological replicate 4
100% 13C biomass,0.01009879299999994,0.027088918000000017,0.008858680000000008,0.019289895,0.019766295999999905,0.03657761599999998,0.028404407999999992,100% 13C biomass,100% 13C biomass
75% 13C biomass,0.24410256400000008,0.319774074,0.17241151200000004,0.23538268699999998,0.28992585000000004,0.278992004,0.281154335,75% 13C biomass,75% 13C biomass
50% 13C biomass,0.40798932,0.613273392,0.5061691989999999,0.555188681,0.5523542189999999,0.513272296,0.41087417299999995,50% 13C biomass,50% 13C biomass
25% 13C biomass,0.6996954790000001,0.800006344,0.798123846,0.720075542,0.801875966,0.752993521,0.668661198,25% 13C biomass,25% 13C biomass
