,time_s,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP
0,0.0,0.04922,0.05127999999999999,0.06376000000000001,0.05620000000000001,0.050280000000000005,0.050460000000000005,0.06459999999999999,0.0719,0.05252,0.050280000000000005,0.050859999999999995,0.05162,0.05114,0.04978,0.0501,0.050780000000000006,0.0698,0.05654,0.05766,0.05714,0.05569999999999999,0.06898000000000001,0.05722000000000001,0.06645999999999999,0.06011999999999999,0.06852,0.07227999999999998,0.06678,0.05841999999999999,0.06958,0.05944000000000001,0.06269999999999999
1,1921.89,0.04984,0.05232,0.0683,0.058660000000000004,0.05125999999999999,0.0516,0.07104,0.07787999999999999,0.05397999999999999,0.051480000000000005,0.05192,0.05391999999999999,0.05322,0.05064,0.051239999999999994,0.052160000000000005,0.07244,0.056440000000000004,0.05778,0.05848,0.05573999999999999,0.0727,0.058039999999999994,0.06902,0.060219999999999996,0.07072,0.07502,0.06720000000000001,0.06028,0.07524,0.06006,0.06638000000000001
2,3843.967,0.04972,0.05245999999999999,0.07016,0.059759999999999994,0.05178000000000001,0.05192,0.07378,0.08208000000000001,0.054220000000000004,0.0522,0.05216,0.054459999999999995,0.05386,0.05072000000000001,0.051559999999999995,0.0523,0.07358,0.05633999999999999,0.058179999999999996,0.05926,0.0558,0.07468,0.05858,0.07111999999999999,0.0605,0.07307999999999999,0.07748000000000001,0.06966,0.062060000000000004,0.0827,0.060899999999999996,0.06842000000000001
3,5765.89,0.049780000000000005,0.05332,0.0718,0.06098,0.05152000000000001,0.05222,0.07514,0.08393999999999999,0.05449999999999999,0.0524,0.052360000000000004,0.05467999999999999,0.05406,0.050839999999999996,0.05166,0.0524,0.07468,0.056679999999999994,0.05840000000000001,0.06076,0.05550000000000001,0.07622,0.05896,0.07102,0.060880000000000004,0.07387999999999999,0.08,0.0725,0.06316,0.08886000000000001,0.06246,0.07726000000000001
4,7687.981,0.0499,0.0534,0.07332000000000001,0.06146,0.05169999999999999,0.052000000000000005,0.07695999999999999,0.08516000000000001,0.0546,0.05252000000000001,0.05242,0.055420000000000004,0.05489999999999999,0.050879999999999995,0.052180000000000004,0.052559999999999996,0.0755,0.05686,0.05900000000000001,0.06179999999999999,0.056299999999999996,0.07696,0.060239999999999995,0.07224,0.06148,0.07758000000000001,0.08246,0.07386000000000001,0.06426000000000001,0.08444,0.06462,0.07855999999999999
5,9610.164,0.05008,0.054000000000000006,0.07402,0.06202,0.052360000000000004,0.052360000000000004,0.07808,0.08674,0.05512,0.05292,0.052739999999999995,0.05564,0.05484,0.0508,0.05238,0.052700000000000004,0.07633999999999999,0.057420000000000006,0.05891999999999999,0.06262,0.056440000000000004,0.07744,0.06044000000000001,0.07248,0.0624,0.07662,0.08318,0.079,0.0639,0.08942,0.06478,0.08044
6,11532.267,0.050339999999999996,0.05382,0.07444,0.06259999999999999,0.05195999999999999,0.05238,0.07886,0.0877,0.05526,0.05304,0.05267999999999999,0.05558,0.055279999999999996,0.05066,0.0522,0.05246000000000001,0.07676,0.05738,0.05896,0.06308,0.05639999999999999,0.07786,0.06090000000000001,0.07368,0.06412,0.0834,0.08566,0.07608000000000001,0.06516,0.08886000000000002,0.06621999999999999,0.09204
7,13454.286,0.05005999999999999,0.05354,0.07462,0.0627,0.05194,0.052160000000000005,0.07926,0.08819999999999999,0.055340000000000014,0.05334,0.0531,0.05606,0.055420000000000004,0.050960000000000005,0.0522,0.05244,0.07731999999999999,0.05784,0.05978,0.06413999999999999,0.05700000000000001,0.07846,0.061759999999999995,0.07338,0.06366,0.0867,0.08692,0.0736,0.06588,0.09274,0.0719,0.09584
8,15376.376,0.05044,0.05386,0.07511999999999999,0.06334,0.05219999999999999,0.05256000000000001,0.0805,0.08937999999999999,0.055080000000000004,0.05382,0.0529,0.05600000000000001,0.05568000000000001,0.05064,0.05212,0.052980000000000006,0.07776,0.05832,0.059860000000000003,0.06502,0.05724,0.07884000000000001,0.06172,0.07464000000000001,0.06498,0.08510000000000001,0.08884,0.07438,0.0658,0.10544,0.07274,0.10268000000000002
9,17298.202,0.05045999999999999,0.05394,0.0755,0.0633,0.052000000000000005,0.05234,0.08074,0.08972,0.05532,0.054000000000000006,0.053279999999999994,0.05652,0.05619999999999999,0.051039999999999995,0.053000000000000005,0.05450000000000001,0.07804,0.058739999999999994,0.06048,0.06591999999999999,0.05778,0.07902,0.06286,0.07448,0.06482,0.08468,0.09242,0.07786,0.06908,0.1004,0.07594000000000001,0.10469999999999999
