,time_s,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,LS/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP,K/AGFP
0,0.0,0.04668,0.04712,0.0502,0.04654,0.04722,0.04696,0.04954000000000001,0.04610000000000001,0.05038,0.052039999999999996,0.05112,0.05144,0.04803999999999999,0.05008,0.04824,0.04982,0.05412,0.05562,0.05534,0.054400000000000004,0.053459999999999994,0.05454,0.05397999999999999,0.05296000000000001,0.05412,0.05524,0.054900000000000004,0.05358,0.0531,0.05392,0.0541,0.05362
1,1897.791,0.047240000000000004,0.048,0.05332,0.0467,0.04726,0.0469,0.049519999999999995,0.04648000000000001,0.0511,0.05266,0.053059999999999996,0.05272,0.050480000000000004,0.05116,0.047760000000000004,0.05172,0.054380000000000005,0.05606,0.05566,0.05539999999999999,0.05397999999999999,0.05558,0.05396000000000001,0.05317999999999999,0.054000000000000006,0.055779999999999996,0.05602,0.05367999999999999,0.05364,0.05438,0.054900000000000004,0.056440000000000004
2,3795.572,0.04738,0.04826,0.055420000000000004,0.04668,0.047240000000000004,0.047,0.04948,0.04682,0.052680000000000005,0.05449999999999999,0.0538,0.05238,0.048459999999999996,0.05295999999999999,0.04868,0.05476000000000001,0.05466,0.056920000000000005,0.055979999999999995,0.056440000000000004,0.054599999999999996,0.056440000000000004,0.05452,0.053360000000000005,0.053680000000000005,0.05636,0.05658,0.05464,0.05436,0.05500000000000001,0.05721999999999999,0.06318
3,5693.353,0.04802000000000001,0.0492,0.05824,0.04698,0.047599999999999996,0.04688,0.04945999999999999,0.04654,0.05308,0.05611999999999999,0.055459999999999995,0.05434,0.05,0.054180000000000006,0.05023999999999999,0.056380000000000006,0.05504,0.057420000000000006,0.05632,0.057059999999999986,0.05544,0.057100000000000005,0.05532,0.05399999999999999,0.05364,0.06083999999999999,0.05739999999999999,0.05788,0.055459999999999995,0.05728,0.0581,0.0615
4,7591.032,0.04844,0.049260000000000005,0.06011999999999999,0.04773999999999999,0.047619999999999996,0.04708,0.04973999999999999,0.04664,0.05314,0.058519999999999996,0.05514,0.05602,0.05262,0.054220000000000004,0.051000000000000004,0.0586,0.05524,0.05796000000000001,0.056600000000000004,0.05786,0.055600000000000004,0.05802,0.05554,0.05438,0.05367999999999999,0.061020000000000005,0.05828,0.0571,0.05556000000000001,0.05826,0.06082,0.06342
5,9488.702,0.048819999999999995,0.0497,0.062060000000000004,0.04714,0.04773999999999999,0.04682,0.049659999999999996,0.046560000000000004,0.05654,0.05564,0.05467999999999999,0.05504,0.04996,0.05524,0.051739999999999994,0.058179999999999996,0.05546000000000001,0.05846,0.05678000000000001,0.05846,0.05582,0.05854,0.05534,0.054720000000000005,0.053500000000000006,0.0612,0.06108,0.05898,0.05600000000000001,0.05789999999999999,0.060419999999999995,0.06722
6,11386.529,0.0491,0.05162,0.06312,0.047659999999999994,0.047839999999999994,0.04688,0.04956000000000001,0.04638,0.05611999999999999,0.057479999999999996,0.05108,0.05586000000000001,0.0506,0.05666,0.05304,0.06164000000000001,0.055499999999999994,0.0591,0.05775999999999999,0.058699999999999995,0.056220000000000006,0.059199999999999996,0.0558,0.0553,0.05342,0.07032000000000001,0.06316,0.061419999999999995,0.057319999999999996,0.05689999999999999,0.06416,0.07176
7,13284.507,0.0493,0.04977999999999999,0.06355999999999999,0.04718,0.047439999999999996,0.046799999999999994,0.049460000000000004,0.04632000000000001,0.0493,0.05842000000000001,0.05412,0.0566,0.05244,0.05532,0.05369999999999999,0.06426000000000001,0.05562,0.060640000000000006,0.05728,0.059140000000000005,0.05638,0.05948,0.05639999999999999,0.05524,0.05334,0.06578,0.06436,0.06108,0.05732,0.06412,0.061840000000000006,0.07189999999999999
8,15182.434,0.04984,0.05072,0.06444,0.04772,0.04766,0.04684,0.04958,0.046239999999999996,0.0493,0.05996,0.05222,0.054079999999999996,0.0509,0.05567999999999999,0.05354,0.06273999999999999,0.05558,0.06076,0.05746,0.05946,0.05614,0.05958,0.05588,0.05566,0.05314,0.06638,0.06570000000000001,0.06645999999999999,0.05806,0.06546,0.06284,0.07842000000000002
9,17080.497,0.050280000000000005,0.0506,0.06532,0.047939999999999997,0.0486,0.04753999999999999,0.0498,0.04646,0.0501,0.05948,0.05302,0.05462,0.05462,0.05728,0.05566,0.0619,0.05606,0.0606,0.058199999999999995,0.06008,0.05696,0.06083999999999999,0.05826,0.05686,0.0538,0.07886,0.07186000000000001,0.0732,0.058940000000000006,0.058640000000000005,0.07076,0.09304
10,18978.483,0.0502,0.050780000000000006,0.06644000000000001,0.04818,0.048159999999999994,0.047599999999999996,0.05006000000000001,0.04684,0.050960000000000005,0.06018,0.05349999999999999,0.054200000000000005,0.053079999999999995,0.0595,0.056580000000000005,0.064,0.055959999999999996,0.06284000000000001,0.05802,0.06038,0.056679999999999994,0.06061999999999999,0.05954,0.05639999999999999,0.0534,0.07687999999999999,0.06802,0.0665,0.059899999999999995,0.06767999999999999,0.07465999999999999,0.08746000000000001
11,20876.401,0.050760000000000007,0.05144,0.06685999999999999,0.0486,0.04818,0.047439999999999996,0.049839999999999995,0.04672,0.0506,0.06194000000000001,0.055099999999999996,0.05571999999999999,0.05114,0.0593,0.05308,0.061919999999999996,0.05600000000000001,0.06196,0.05811999999999999,0.06106,0.056519999999999994,0.06055999999999999,0.05798,0.05666,0.05362,0.08258000000000001,0.07324,0.07204,0.060020000000000004,0.07564,0.0683,0.08684
12,22774.249,0.050960000000000005,0.05092,0.06744,0.048479999999999995,0.048240000000000005,0.04746,0.05007999999999999,0.04662,0.0519,0.06294,0.0528,0.054860000000000006,0.05399999999999999,0.057580000000000006,0.05276000000000001,0.06248,0.05634,0.06057999999999999,0.058440000000000006,0.06078,0.05674,0.06104,0.059239999999999994,0.058100000000000006,0.05373999999999999,0.08194000000000001,0.07748,0.06892000000000001,0.06182,0.06854,0.07084,0.09186000000000001
13,24672.014,0.05108,0.05108,0.06822,0.04904,0.0486,0.04776,0.05017999999999999,0.047,0.0521,0.06254,0.05606,0.05432,0.053779999999999994,0.05740000000000001,0.053000000000000005,0.06058,0.056220000000000006,0.06082,0.05856,0.06106,0.05682,0.0615,0.06108,0.05766,0.05347999999999999,0.0737,0.07026,0.0742,0.061880000000000004,0.0619,0.07587999999999999,0.09754
14,26569.784,0.05095999999999999,0.05166,0.0686,0.0494,0.048799999999999996,0.047700000000000006,0.0506,0.047099999999999996,0.052539999999999996,0.0622,0.05526,0.05626,0.05334,0.05454,0.05023999999999999,0.05876,0.056299999999999996,0.06215999999999999,0.05920000000000001,0.06342,0.05676,0.06108,0.05928,0.05846,0.05347999999999999,0.07604,0.07074,0.0655,0.0605,0.07002,0.07433999999999999,0.0985
15,28467.582,0.050960000000000005,0.05144,0.06939999999999999,0.049280000000000004,0.04912,0.04803999999999999,0.05022,0.04722,0.05312,0.061560000000000004,0.056400000000000006,0.05534,0.05144,0.05586,0.04832,0.059399999999999994,0.05626,0.06114000000000001,0.059120000000000006,0.06208,0.05676,0.062479999999999994,0.06158,0.058219999999999994,0.05332,0.07072,0.06992,0.06648000000000001,0.05974,0.06966,0.07568,0.10132
16,30365.373,0.0511,0.051759999999999994,0.06966,0.04924,0.04854000000000001,0.04772,0.0503,0.04716,0.05406,0.06044000000000001,0.05518000000000001,0.05442,0.0491,0.05582,0.0483,0.06028,0.05624,0.06248,0.06038,0.0635,0.05702,0.06235999999999999,0.05963999999999999,0.0586,0.053259999999999995,0.07322,0.07146,0.06345999999999999,0.05896,0.07154,0.07632000000000001,0.09606
17,32262.977,0.05144,0.05166,0.07003999999999999,0.04936,0.049,0.047799999999999995,0.05062,0.04695999999999999,0.05504,0.0606,0.05518000000000001,0.05448000000000001,0.0517,0.05582,0.04826000000000001,0.06002,0.05632,0.06386,0.0611,0.06348000000000001,0.05720000000000001,0.06228,0.05922000000000001,0.05756,0.05332,0.08071999999999999,0.07334,0.0671,0.0603,0.06652,0.07724,0.09682
18,34160.901,0.05116,0.05162,0.07048,0.04976,0.04922,0.04772,0.05066,0.04678,0.05108,0.06266000000000001,0.05402,0.05136,0.05005999999999999,0.0546,0.05042,0.060840000000000005,0.056100000000000004,0.06438,0.060840000000000005,0.06366,0.05806,0.06098,0.059899999999999995,0.05756,0.05314,0.07968,0.07246,0.0703,0.060340000000000005,0.06728,0.07882,0.10306
