NAME,CCMB1-pilot2-083129
GROUP_TYPE,MultiCultivator-OD
GROUP_NAME,MC 201-group
GROUP_ID,group-003
START,"Aug 31, 2019 4:07:40 PM"
PLANNED_DURATION,10d 00:00:00
PLANNED_DURATION_SEC,864000
DURATION,8d 20:46:22
DURATION_SEC,765982
INOCULUM,100x dilution of OD600 0.5
MEDIUM,m9 gly 1/2 cm atc 100 nM
ORGANISM,CCMB1
GASSING,ambient air
TERMINATION,
TIME_FORMAT,HOURS
TIME_FROM_SEC,0
TIME_TO_SEC,765927
NOTES,

key                 ,time                ,value               ,
mc-airpump.airpump  ,4.250278            ,1                   
mc-airpump.airpump  ,4.332222            ,                    
mc-airpump.airpump  ,4.333611            ,1                   
mc-airpump.airpump  ,4.415556            ,                    
mc-airpump.airpump  ,4.416944            ,1                   
mc-airpump.airpump  ,4.498889            ,                    
mc-airpump.airpump  ,4.500278            ,1                   
mc-airpump.airpump  ,4.582222            ,                    
mc-airpump.airpump  ,4.583611            ,1                   
mc-airpump.airpump  ,4.665556            ,                    
mc-airpump.airpump  ,4.666944            ,1                   
mc-airpump.airpump  ,4.748889            ,                    
mc-airpump.airpump  ,4.750278            ,1                   
mc-airpump.airpump  ,4.832222            ,                    
mc-airpump.airpump  ,4.833611            ,1                   
mc-airpump.airpump  ,4.915556            ,                    
mc-airpump.airpump  ,4.916944            ,1                   
mc-airpump.airpump  ,4.998889            ,                    
mc-airpump.airpump  ,5.000278            ,1                   
mc-airpump.airpump  ,5.082222            ,                    
mc-airpump.airpump  ,5.083611            ,1                   
mc-airpump.airpump  ,5.165556            ,                    
mc-airpump.airpump  ,5.166944            ,1                   
mc-airpump.airpump  ,5.248889            ,                    
mc-airpump.airpump  ,5.250278            ,1                   
mc-airpump.airpump  ,5.332222            ,                    
mc-airpump.airpump  ,5.333611            ,1                   
mc-airpump.airpump  ,5.415556            ,                    
mc-airpump.airpump  ,5.416944            ,1                   
mc-airpump.airpump  ,5.498889            ,                    
mc-airpump.airpump  ,5.500278            ,1                   
mc-airpump.airpump  ,5.582222            ,                    
mc-airpump.airpump  ,5.583611            ,1                   
mc-airpump.airpump  ,5.665556            ,                    
mc-airpump.airpump  ,5.666944            ,1                   
mc-airpump.airpump  ,5.748889            ,                    
mc-airpump.airpump  ,5.750278            ,1                   
mc-airpump.airpump  ,5.832222            ,                    
mc-airpump.airpump  ,5.833611            ,1                   
mc-airpump.airpump  ,5.915556            ,                    
mc-airpump.airpump  ,5.916944            ,1                   
mc-airpump.airpump  ,5.998889            ,                    
mc-airpump.airpump  ,6.000278            ,1                   
mc-airpump.airpump  ,6.082222            ,                    
mc-airpump.airpump  ,6.083611            ,1                   
mc-airpump.airpump  ,6.165556            ,                    
mc-airpump.airpump  ,6.166944            ,1                   
mc-airpump.airpump  ,6.248889            ,                    
mc-airpump.airpump  ,6.250278            ,1                   
mc-airpump.airpump  ,6.332222            ,                    
mc-airpump.airpump  ,6.333611            ,1                   
mc-airpump.airpump  ,6.415556            ,                    
mc-airpump.airpump  ,6.416944            ,1                   
mc-airpump.airpump  ,6.498889            ,                    
mc-airpump.airpump  ,6.500278            ,1                   
mc-airpump.airpump  ,6.582222            ,                    
mc-airpump.airpump  ,6.583611            ,1                   
mc-airpump.airpump  ,6.665556            ,                    
mc-airpump.airpump  ,6.666944            ,1                   
mc-airpump.airpump  ,6.748889            ,                    
mc-airpump.airpump  ,6.750278            ,1                   
mc-airpump.airpump  ,6.832222            ,                    
mc-airpump.airpump  ,6.833611            ,1                   
mc-airpump.airpump  ,6.915556            ,                    
mc-airpump.airpump  ,6.916944            ,1                   
mc-airpump.airpump  ,6.998889            ,                    
mc-airpump.airpump  ,7.000278            ,1                   
mc-airpump.airpump  ,7.082222            ,                    
mc-airpump.airpump  ,7.083611            ,1                   
mc-airpump.airpump  ,7.165556            ,                    
mc-airpump.airpump  ,7.166944            ,1                   
mc-airpump.airpump  ,7.248889            ,                    
mc-airpump.airpump  ,7.250278            ,1                   
mc-airpump.airpump  ,7.332222            ,                    
mc-airpump.airpump  ,7.333611            ,1                   
mc-airpump.airpump  ,7.415556            ,                    
mc-airpump.airpump  ,7.416944            ,1                   
mc-airpump.airpump  ,7.498889            ,                    
mc-airpump.airpump  ,7.500278            ,1                   
mc-airpump.airpump  ,7.582222            ,                    
mc-airpump.airpump  ,7.583611            ,1                   
mc-airpump.airpump  ,7.665556            ,                    
mc-airpump.airpump  ,7.666944            ,1                   
mc-airpump.airpump  ,7.748889            ,                    
mc-airpump.airpump  ,7.750278            ,1                   
mc-airpump.airpump  ,7.832222            ,                    
mc-airpump.airpump  ,7.833611            ,1                   
mc-airpump.airpump  ,7.915556            ,                    
mc-airpump.airpump  ,7.916944            ,1                   
mc-airpump.airpump  ,7.998889            ,                    
mc-airpump.airpump  ,8.000278            ,1                   
mc-airpump.airpump  ,8.082222            ,                    
mc-airpump.airpump  ,8.083611            ,1                   
mc-airpump.airpump  ,8.165556            ,                    
mc-airpump.airpump  ,8.166944            ,1                   
mc-airpump.airpump  ,8.248889            ,                    
mc-airpump.airpump  ,8.250278            ,1                   
mc-airpump.airpump  ,8.332222            ,                    
mc-airpump.airpump  ,8.333611            ,1                   
mc-airpump.airpump  ,8.415556            ,                    
mc-airpump.airpump  ,8.416944            ,1                   
mc-airpump.airpump  ,8.498889            ,                    
mc-airpump.airpump  ,8.500278            ,1                   
mc-airpump.airpump  ,8.582222            ,                    
